id,title,privacy,likes,views,comments,timestamp
4839210,Top 5 Makeup Looks for Fall,public,95,7125,11,Thu Oct 03 02:05:34 2015
4839211,Giving Your Baby Grown-up Food,public,38,16202,16,Fri Oct 04 04:05:35 2015
4839213,5 Pretty No-Carve Pumpkin Ideas,public,57,11236,13,Sun Oct 06 04:05:37 2015
4839221,Cupcakes Make Mom's Life Easier,public,58,7925,33,Mon Oct 14 04:05:45 2015
4839222,Sarah Palin Knows Cheesesteak,public,71,20108,31,Tue Oct 15 01:05:46 2015
4839230,Do You Do the Flu Shot?,public,62,10674,16,Fri Oct 04 04:05:54 2015
4839232,An SEO friendly title here,public,107,12257,41,Sun Oct 06 04:05:00 2015
4839233,Is Your Baby's Bottle Safe?,public,90,10407,21,Mon Oct 07 04:05:01 2015
4839234,Yay! My Baby Claps,public,103,16530,39,Tue Oct 08 01:05:02 2015
4839238,Healthy Fast Food Guide,public,132,7451,45,Sat Oct 12 04:05:06 2015
4839239,"A Kinder, Gentler Thermometer",public,41,4411,14,Sun Oct 13 04:05:07 2015
4839240,Pass the Veggies!,public,83,4353,16,Mon Oct 14 04:05:08 2015
4839241,Are You Smarter Than a 5th Grader?,public,93,17127,44,Tue Oct 15 01:05:09 2015
4839243,Baby Gear: I Love My ...,public,122,10858,45,Thu Oct 17 02:05:11 2015
4839245,Should Sara Palin Stay Closer to Home?,public,105,9119,14,Sat Oct 19 04:05:13 2015
4839248,No Homework for Kindergartners,public,117,12248,49,Thu Oct 03 02:05:16 2015
4839251,Will You Have Someone Come to Stay?,public,170,5899,49,Sun Oct 06 04:05:19 2015
4839252,Baby Names!,public,64,15576,35,Mon Oct 07 04:05:20 2015
4839253,What Weight Is Overweight?,public,116,18975,26,Tue Oct 08 01:05:21 2015
4839254,Unsupervised in the Car?,public,79,8794,23,Wed Oct 09 04:03:22 2015
4839255,Is Three (Kids) the Magic Number?,public,144,1095,48,Thu Oct 10 02:05:23 2015
4839256,Cheerios is the Best Breakfast Cereal,public,70,13019,45,Fri Oct 11 04:05:24 2015
4839258,Shoes for Every Mama,public,99,19903,37,Sun Oct 13 04:05:26 2015
4839259,Baby Names: Two Middle Names?,public,115,11182,17,Mon Oct 14 04:05:27 2015
4839270,Have You Been Bitten by Vampire Fever?,public,46,15420,35,Sun Oct 06 04:06:38 2015
4839271,One Way to Lose Those Last Pounds,public,118,8646,32,Mon Oct 07 04:06:39 2015
4839277,Who is Your Guilty Pleasure?,public,108,14243,15,Sun Oct 13 04:06:45 2015
4839278,What Do You Want to Read About?,public,130,1148,45,Mon Oct 14 04:06:46 2015
4839279,Shoes for Every Mama,public,112,10484,39,Tue Oct 15 01:06:47 2015
4839281,Celebs on the Edge,public,58,6030,45,Thu Oct 17 02:06:49 2015
4839285,Do the Candidates Have Beauty Secrets?,public,20,4697,13,Wed Oct 02 04:04:53 2015
4839286,Repurposing Baby Items,public,48,6366,28,Thu Oct 03 02:06:54 2015
4839287,test test test,public,148,13623,41,Fri Oct 04 04:06:55 2015
4839289,Exercise During Pregnancy,public,117,11576,40,Sun Oct 06 04:06:01 2015
4839294,Celebrities Gone Wrong,public,64,3337,28,Fri Oct 11 04:06:06 2015
4839296,Early Gifts for Baby,public,52,4025,18,Sun Oct 13 04:06:08 2015
4839299,Spooky Cakes for Halloween,public,62,3473,37,Wed Oct 16 04:04:11 2015
4839302,Test Post-For MicheleZ to view,public,92,1977,13,Sat Oct 19 04:06:14 2015
4839305,Celebrities We Love to Hate,public,68,19009,27,Thu Oct 03 02:06:17 2015
4839306,Amy Winehouse Is A Bad Girl,public,92,4983,15,Fri Oct 04 04:06:18 2015
4839307,The 50 Worst Songs Ever Made,public,67,16497,36,Sat Oct 05 04:06:19 2015
4839312,Professional Belly Pics,public,150,19883,48,Thu Oct 10 03:07:24 2015
4839313,Haircut Time?,public,130,4636,43,Fri Oct 11 05:07:25 2015
4839315,How to Make a Belly Cast,public,136,18866,41,Sun Oct 13 05:07:27 2015
4839317,Cold Medicine Warning,public,44,5061,12,Tue Oct 15 02:07:29 2015
4839322,Daddy Denial for Billy Ray?,public,86,1759,18,Sun Oct 20 05:07:34 2015
4839324,Tees for the Stars from Planet Mom,public,84,10524,29,Thu Oct 03 03:07:36 2015
4839326,Clever Belly Pics!,public,95,12263,25,Sat Oct 05 05:07:38 2015
4839327,A 3-Year-Old Goddess?,public,32,13458,25,Sun Oct 06 05:07:39 2015
4839329,The Kindness of Strangers,public,156,7746,47,Tue Oct 08 02:07:41 2015
4839337,I Want to Hear from You!,public,47,9569,19,Wed Oct 16 05:05:49 2015
4839340,The Five O'Clock Buzz,public,70,19469,43,Sat Oct 19 05:07:52 2015
4839342,Is Jamie Lynn Spears Pregnant Again?,public,70,2981,37,Wed Oct 02 05:05:54 2015
4839343,Bring Autumn Indoors,public,105,14968,17,Thu Oct 03 03:07:55 2015
4839346,Who Will Support You During Labor?,public,47,16683,24,Sun Oct 06 05:07:02 2015
4839352,What Are You Doing for Fun Today?,public,96,12813,47,Sat Oct 12 05:07:08 2015
4839353,Get Your Lost Lovies Here ...,public,143,7017,37,Sun Oct 13 05:07:09 2015
4839357,A Must Read! Another Funny List,public,72,16631,20,Thu Oct 17 03:07:13 2015
4839358,Save Money With Homemade Pizza,public,114,20002,44,Fri Oct 18 05:07:14 2015
4839359,Easy-to-Make Halloween Costumes,public,61,17265,31,Sat Oct 19 05:07:15 2015
4839360,"Hey, Moms, Let's Trade",public,54,9620,12,Sun Oct 20 05:08:16 2015
4839361,Weekend Lust List,public,98,2815,32,Wed Oct 02 05:06:17 2015
4839365,Halloween Stranger Danger,public,84,14619,17,Sun Oct 06 05:08:21 2015
4839369,"Oh, great. LICE!!!",public,43,2515,22,Thu Oct 10 03:08:25 2015
4839374,Did You Go Past Your Due Date?,public,111,10770,16,Tue Oct 15 02:08:30 2015
4839378,Alert: Nerf Blasters Toy Recalled,public,122,5308,36,Sat Oct 19 05:08:34 2015
4839381,My Favorite Quotes on Motherhood,public,50,7278,39,Thu Oct 03 03:08:37 2015
4839382,Group Hug: Birth Is Normal,public,100,19941,22,Fri Oct 04 05:08:38 2015
4839398,Is Your Man a Gastrosexual?,public,29,19026,17,Sun Oct 20 05:08:54 2015
4839399,Be a Part of the Beauty & Style Buzz,public,118,17822,33,Wed Oct 02 05:06:55 2015
4839400,Hooray for Hair Bands!,public,141,19787,41,Thu Oct 03 03:08:00 2015
4839402,Hershey's Kisses for Halloween,public,104,12175,47,Sat Oct 05 05:08:02 2015
4839408,Addicted? Get Your Fix at CafeMom!,public,150,1073,43,Fri Oct 11 05:08:08 2015
4839412,Tips for Piercing Your Baby's Ears,public,81,6338,17,Tue Oct 15 03:09:12 2015
4839415,Need a Good Laugh?,public,34,10830,20,Fri Oct 18 06:09:15 2015
4839420,4 Ways to Feel Better Fast,public,50,7548,32,Fri Oct 04 06:09:20 2015
4839421,"Autumn Leaves = Good, Free Mulch",public,111,3600,43,Sat Oct 05 06:09:21 2015
4839423,How To Be a Recessionista,public,120,17698,30,Mon Oct 07 06:09:23 2015
4839426,Farmer's Markets in Full Swing,public,57,3188,13,Thu Oct 10 04:09:26 2015
4839430,"Rich Mom, Happy Mom?",public,73,18206,26,Mon Oct 14 06:09:30 2015
4839431,Clean Hair in a Hurry,public,49,15728,18,Tue Oct 15 03:09:31 2015
4839432,Relief From Cold Symptoms,public,76,4705,30,Wed Oct 16 06:07:32 2015
4839439,Top Tips for Morning Sickness,public,138,14974,35,Fri Oct 04 06:09:39 2015
4839442,Party Hard Hangover Cures,public,62,6836,28,Mon Oct 07 06:09:42 2015
4839446,Found! Quick Dry Nail Polish,public,164,20019,41,Fri Oct 11 06:09:46 2015
4839447,Women Get Aroused As Quickly As Men,public,120,17263,44,Sat Oct 12 06:09:47 2015
4839448,CafeMom TV Recaps,public,112,8563,12,Sun Oct 13 06:09:48 2015
4839449,Tips for Beautiful Belly Pictures,public,85,3427,16,Mon Oct 14 06:09:49 2015
4839451,The Queens of Mean Speak!,public,80,3073,36,Wed Oct 16 06:07:51 2015
4839458,Time Out on 'Tween Tantrums,public,49,5021,16,Fri Oct 04 06:09:02 2015
4839459,Pretty Heirloom Vegetable Art,public,137,3238,36,Sat Oct 05 06:09:03 2015
4839462,Who Will Win Project Runway?,public,136,11530,36,Tue Oct 08 03:10:06 2015
4839464,A Welcome Wreath (with Apples),public,122,20317,24,Thu Oct 10 04:10:08 2015
4839474,That Crunch Wrap Has How Many Calories?,public,125,2036,24,Sun Oct 20 06:10:18 2015
4839477,5 Tips for Getting Better Sleep,public,81,14517,46,Fri Oct 04 06:10:21 2015
4839486,A Miracle in a Two Ounce Bottle?,public,109,8633,43,Sun Oct 13 06:10:30 2015
4839491,Design Deals - Great Art $20. Really.,public,143,9177,43,Fri Oct 18 06:10:35 2015
4839503,Strategies for Coping with Bed Rest,public,116,13111,34,Fri Oct 11 06:10:47 2015
4839509,Meet Up with Moms in Your Neighborhood,public,17,17554,12,Thu Oct 17 04:10:53 2015
4839511,Celebrity Baby Buzz!,public,67,2715,28,Sat Oct 19 07:11:55 2015
4839512,Let's Do School Lunch,public,134,4399,33,Sun Oct 20 07:11:00 2015
4839517,Smokey Eye Made Easy,public,67,5190,37,Sun Oct 06 07:11:05 2015
4839519,Thinking About Botox?,public,83,9314,49,Tue Oct 08 04:11:07 2015
4839521,Guilt-Free Halloween Candy,public,88,12273,34,Thu Oct 10 05:11:09 2015
4839526,Get Ready - 2009 Calendars Are Coming!,public,153,9822,34,Tue Oct 15 04:11:14 2015
4839529,Links Sweet Links - Autumn Weekend,public,126,11464,37,Fri Oct 18 07:11:17 2015
4839530,All About Apples!,public,95,3611,32,Sat Oct 19 07:11:18 2015
4839532,15 Secrets of Labor and Delivery,public,98,5505,31,Wed Oct 02 07:09:20 2015
4839533,What To Do This Weekend,public,18,19360,11,Thu Oct 03 05:11:21 2015
4839538,Calling All Teen Girl Artists!,public,96,12769,15,Tue Oct 08 04:11:26 2015
4839540,How Did You Lose Your Baby Weight?,public,56,2440,22,Thu Oct 10 05:11:28 2015
4839543,Nutter Butter Ghost Cookies in a Jiffy,public,76,13550,35,Sun Oct 13 07:11:31 2015
4839546,A Handmade Halloween With Etsy,public,40,20826,32,Wed Oct 16 07:09:34 2015
4839548,Save Money on Coffee,public,130,17413,37,Fri Oct 18 07:11:36 2015
4839555,Are You a Cosmoholic?,public,56,7747,24,Sun Oct 06 07:11:43 2015
4839566,Marcia Brady Tells All!,public,130,20928,28,Thu Oct 17 05:12:54 2015
4839567,Feed Your Skin with a Pumpkin Facial,public,43,14839,14,Fri Oct 18 07:12:55 2015
4839572,New Test Detects Autism in Infants,public,93,19818,13,Fri Oct 04 07:12:04 2015
4839573,Buy a Coffee Maker & Save Money at Home,public,114,13103,23,Sat Oct 05 07:12:05 2015
4839585,New on DVD!,public,70,11349,16,Thu Oct 17 05:12:17 2015
4839586,Super Mom Style Tips,public,39,12362,14,Fri Oct 18 07:12:18 2015
4839591,Beautiful Skin In 60 Seconds,public,77,4098,30,Fri Oct 04 07:12:23 2015
4839592,Baby Gear: I Love My ...,public,107,7311,32,Sat Oct 05 07:12:24 2015
4839593,Toxic Baby Bottles Banned,public,35,20716,18,Sun Oct 06 07:12:25 2015
4839594,Cures for Cradle Cap,public,51,1289,35,Mon Oct 07 07:12:26 2015
4839597,Coffee During Pregnancy,public,84,1444,11,Thu Oct 10 05:12:29 2015
4839604,10 Cool Baby Names to Consider,public,53,10361,34,Thu Oct 17 05:12:36 2015
4839605,Retro Parties Are the Next New Thing,public,62,18612,17,Fri Oct 18 07:12:37 2015
4839608,Kate Hudson vs. Liv Tyler,public,122,2848,24,Wed Oct 02 07:10:40 2015
4839609,Planning for Your Period,public,176,17189,49,Thu Oct 03 05:12:41 2015
4839611,More Halloween Fun!,public,54,11233,16,Sat Oct 05 08:13:43 2015
4839616,Hickey Help,public,109,5614,35,Thu Oct 10 06:13:48 2015
4839624,Babymoons: Your Pre-Baby Vacay,public,136,4978,39,Fri Oct 18 08:13:00 2015
4839625,Sick of Madonna Divorce Gossip? Me Too!,public,34,14582,14,Sat Oct 19 08:13:01 2015
4839627,How Much Does Your Hubby Help?,public,104,11412,41,Wed Oct 02 08:11:03 2015
4839628,How to Shop Vintage & Thrift Stores,public,70,15719,35,Thu Oct 03 06:13:04 2015
4839629,Jewelry Your Kids Can Chew On,public,70,3451,16,Fri Oct 04 08:13:05 2015
4839630,Free Pass for Affair? Who is Your Pick?,public,114,16709,32,Sat Oct 05 08:13:06 2015
4839631,Your Baby is So Jealous,public,87,8251,18,Sun Oct 06 08:13:07 2015
4839635,One-Pot Meals Every Week,public,127,14929,45,Thu Oct 10 06:13:11 2015
4839642,Quick Party Food for Football Fans,public,76,20481,45,Thu Oct 17 06:13:18 2015
4839643,Is Jen Pregnant?,public,31,11514,15,Fri Oct 18 08:13:19 2015
4839650,Kids' Food Allergies Up Nearly 20%,public,19,11887,11,Sun Oct 06 08:13:26 2015
4839651,What's Your Definition of Ugly?,public,65,12156,30,Mon Oct 07 08:13:27 2015
4839653,Design Deals - Nature Walk,public,61,18074,48,Wed Oct 09 08:11:29 2015
4839656,Backstage Showdown at The View!,public,131,8410,44,Sat Oct 12 08:13:32 2015
4839661,Give Blood in Honor of Saw V,public,75,20142,24,Thu Oct 17 06:14:37 2015
4839662,breastmilk,public,116,18833,27,Fri Oct 18 08:14:38 2015
4839664,Multi-Use Furniture for the Nursery,public,115,19414,35,Sun Oct 20 08:14:40 2015
4839665,Tiny Houses: How Small Could You Go?,public,101,6472,40,Wed Oct 02 08:12:41 2015
4839669,PTA: Too Much Pressure For You?,public,96,13288,40,Sun Oct 06 08:14:45 2015
4839676,Easy to Make Kids Halloween Costumes,public,120,4294,40,Sun Oct 13 08:14:52 2015
4839680,Imaginary Friends: Who Was Yours?,public,39,16718,18,Thu Oct 17 06:14:00 2015
4839681,America's Next Top Model Recap!,public,110,20581,48,Fri Oct 18 08:14:01 2015
4839682,Easy Updo for Moms on the Go,public,128,19395,34,Sat Oct 19 08:14:02 2015
4839686,Sale! All Pants $18,public,114,7686,36,Fri Oct 04 08:14:06 2015
4839688,Call Your Mother-in-Law,public,147,11361,37,Sun Oct 06 08:14:08 2015
4839700,Real-Mom Birth Stories,public,130,12197,42,Fri Oct 18 08:14:20 2015
4839706,Are You Sharing Your Baby Name?,public,69,17199,13,Sat Oct 05 08:14:26 2015
4839709,What's on Your Post-Baby To-Do List?,public,73,17224,16,Tue Oct 08 05:14:29 2015
4839712,Robert Pattinson is Hot Links,public,100,16247,11,Fri Oct 11 09:15:32 2015
4839713,Ideas for Your Weekend Entertainment!,public,94,17828,28,Sat Oct 12 09:15:33 2015
4839719,Home & Garden Buzz: Get the Widget!,public,101,12462,18,Fri Oct 18 09:15:39 2015
4839722,Under-dressed for the Weather,public,124,1638,28,Wed Oct 02 09:13:42 2015
4839723,SIDS And Sleeping With Your Baby,public,87,6932,30,Thu Oct 03 07:15:43 2015
4839726,Baby's First Words,public,82,5528,27,Sun Oct 06 09:15:46 2015
4839727,10 Ways to Prevent Breast Cancer,public,56,4223,41,Mon Oct 07 09:15:47 2015
4839731,Get Paid for Having Babies in the UK,public,93,10657,49,Fri Oct 11 09:15:51 2015
4839734,Even More Benefits of Coffee,public,116,5090,34,Mon Oct 14 09:15:54 2015
4839737,Grey's Anatomy Recap,public,87,4987,38,Thu Oct 17 07:15:01 2015
4839745,"Baby Teeth, Bye-Bye",public,68,14514,16,Sun Oct 06 09:15:09 2015
4839748,Microwavable Meals Demystified,public,109,16211,40,Wed Oct 09 09:13:12 2015
4839752,Pumpkin Seeds Prevent Hair Loss,public,100,14245,36,Sun Oct 13 09:15:16 2015
4839753,True Blood Recap,public,127,1688,37,Mon Oct 14 09:15:17 2015
4839754,True Blood Recap,public,138,8511,43,Tue Oct 15 06:15:18 2015
4839755,Where Did Mommy Go?,public,133,15603,27,Wed Oct 16 09:13:19 2015
4839756,DRAFT-Abigail's Teen Diary,public,145,19390,48,Thu Oct 17 07:15:20 2015
4839757,"Win a Free, Fashionable Diaper Bag!",public,134,19293,49,Fri Oct 18 09:15:21 2015
4839761,Dress Your Age Not Your Shoe Size,public,37,6947,11,Thu Oct 03 07:16:25 2015
4839762,Refusing to Eat -- My Problem This Week,public,90,7982,14,Fri Oct 04 09:16:26 2015
4839765,Michael Jackson Comeback Tour?,public,128,20273,34,Mon Oct 07 09:16:29 2015
4839771,Sexist Sons. Say it  Ain't So,public,149,8459,35,Sun Oct 13 09:16:35 2015
4839778,The Hills Recap!,public,105,12994,29,Sun Oct 20 09:16:42 2015
4839779,Heroes Recap!,public,45,8971,26,Wed Oct 02 09:14:43 2015
4839783,Ah-choo! Flu Shot Time?,public,82,9959,43,Sun Oct 06 09:16:47 2015
4839785,Feel Pretty Today!,public,135,3890,26,Tue Oct 08 06:16:49 2015
4839786,411 on the HSG Test,public,152,12017,36,Wed Oct 09 09:14:50 2015
4839792,"Lose Weight, Add Clothes!",public,110,8925,31,Tue Oct 15 06:16:00 2015
4839793,Food Baby Costumes for Halloween,public,99,12569,17,Wed Oct 16 09:14:01 2015
4839795,Tombstone Cookies for Halloween,public,57,6350,31,Fri Oct 18 09:16:03 2015
4839803,8 Reasons to Try Prenatal Yoga,public,61,14720,31,Mon Oct 07 09:16:11 2015
4839805,New Widget--Gotta Get It,public,73,13363,16,Wed Oct 09 09:14:13 2015
4839807,Dunkin' Donuts or Starbucks?,public,97,2719,37,Fri Oct 11 09:16:15 2015
4839813,Got a Milk Allergy? Drink More Milk,public,164,6795,48,Thu Oct 17 08:17:21 2015
4839825,The Secret to a Well-Behaved Baby,public,67,12940,20,Thu Oct 10 08:17:33 2015
4839827,Is Your Kid's Candy Safe?,public,116,6658,41,Sat Oct 12 10:17:35 2015
4839830,The First Family Pet,public,49,19632,18,Tue Oct 15 07:17:38 2015
4839832,The Circus: A Bad Thing?,public,112,1285,12,Thu Oct 17 08:17:40 2015
4839836,Inspiration for Baby Names,public,115,3061,19,Wed Oct 02 10:15:44 2015
4839839,Apple Cider: How Do You Like It?,public,64,17398,28,Sat Oct 05 10:17:47 2015
4839840,How to Make a Perfect Baby,public,92,10021,29,Sun Oct 06 10:17:48 2015
4839843,Unsafe Candy Warning,public,88,2558,12,Wed Oct 09 10:15:51 2015
4839844,30 Rock New Season Tonight!,public,111,3048,29,Thu Oct 10 08:17:52 2015
4839846,Good Stuff for Your Dog on Halloween,public,128,8904,32,Sat Oct 12 10:17:54 2015
4839847,"Pink, Johnny Cash and The Cure",public,27,12034,21,Sun Oct 13 10:17:55 2015
4839849,Nose Picking,public,172,10087,41,Tue Oct 15 07:17:01 2015
4839850,Punish a Nose Picker?,public,106,19196,38,Wed Oct 16 10:15:02 2015
4839853,Inspiration: Breakfast at Tiffany's,public,126,17132,49,Sat Oct 19 10:17:05 2015
4839872,Item Swap,public,111,9666,18,Sat Oct 19 10:18:24 2015
4839875,10 Ideas for Birth Announcements,public,128,15618,33,Thu Oct 03 08:18:27 2015
4839878,This Dude's Cornea is 123 Years Old,public,27,3163,11,Sun Oct 06 10:18:30 2015
4839882,Everything's Coming Up Rubies,public,39,8248,22,Thu Oct 10 08:18:34 2015
4839883,Fish Pedicure: Would You Dare?,public,98,5084,16,Fri Oct 11 10:18:35 2015
4839895,Do You Know Your Teen's Friends?,public,49,12552,38,Fri Oct 04 10:18:47 2015
4839905,Do you Ab Fab?,public,135,9759,33,Mon Oct 14 10:18:01 2015
4839906,Porn for Women: Men Cleaning the House,public,129,6085,22,Tue Oct 15 07:18:02 2015
4839907,It's My Birthday: Wishful Wish Listing,public,127,10944,35,Wed Oct 16 10:16:03 2015
4839908,5 More Friends: Leonardo's New PSA,public,109,1896,19,Thu Oct 17 08:18:04 2015
4839910,Installing Your Baby's Car Seat,public,94,9214,13,Sat Oct 19 11:19:06 2015
4839911,Run Like a Marathon Mom,public,89,3413,43,Sun Oct 20 11:19:07 2015
4839919,John McCain on SNL Links,public,89,11671,42,Wed Oct 09 11:17:15 2015
4839930,Get Out the Vote!,public,104,19930,28,Sun Oct 20 11:19:26 2015
4839933,Voting is Fashionable,public,59,11055,24,Fri Oct 04 11:19:29 2015
4839934,Why Voting Is Fashionable,public,146,18606,38,Sat Oct 05 11:19:30 2015
4839935,Kids in the Voting Booth,public,120,8942,12,Sun Oct 06 11:19:31 2015
4839936,Wallpaper for Kids (draft),public,158,11251,47,Mon Oct 07 11:19:32 2015
4839944,Free Ice Cream on Election Day!,public,79,17764,31,Tue Oct 15 08:19:40 2015
4839945,Cute Turkey Cookies for Thanksgiving,public,146,17320,34,Wed Oct 16 11:17:41 2015
4839946,Tired of Politics? Escape into a Movie!,public,51,9601,14,Thu Oct 17 09:19:42 2015
4839947,Toddler Caught You Having Sex?,public,66,16244,32,Fri Oct 18 11:19:43 2015
4839951,Make Your Voice Heard Today--Literally!,public,109,13448,31,Thu Oct 03 09:19:47 2015
4839953,Gwen Stefani vs. Nicole Richie,public,89,15202,36,Sat Oct 05 11:19:49 2015
4839957,Baby Gear: A Diaper Alternative,public,79,19660,32,Wed Oct 09 11:17:53 2015
4839958,How To Wear a Scarf,public,106,16210,38,Thu Oct 10 09:19:54 2015
4839961,More Fun With Wallpaper: Small Projects,public,47,11013,34,Sun Oct 13 11:20:01 2015
4839967,What Your Zits Say About You,public,96,11813,19,Sat Oct 19 11:20:07 2015
4839973,Toddler Ninja versus The Monster,public,144,20098,35,Sun Oct 06 11:20:13 2015
4839975,Election Bubbles Draft,public,124,11490,23,Tue Oct 08 08:20:15 2015
4839985,Working Moms: The Childless Boss,public,151,14777,46,Fri Oct 18 11:20:25 2015
4839987,vinyl wall decals (draft),public,81,1925,37,Sun Oct 20 11:20:27 2015
4839989,Ideas for Cute Maternity Shirts,public,112,13789,29,Thu Oct 03 09:20:29 2015
4839992,Belli Skincare,public,117,14988,26,Sun Oct 06 11:20:32 2015
4839998,New Info on Whooping Cough,public,68,20450,20,Sat Oct 12 11:20:38 2015
4839999,Pediatrician Visits: BYO Toys!,public,36,16280,12,Sun Oct 13 11:20:39 2015
4840000,Help! My Baby is Teething,public,81,11767,38,Mon Oct 14 11:20:40 2015
4840001,How to Start a Cake Business,public,53,18777,24,Tue Oct 15 08:20:41 2015
4840008,Michael Critchon Dies at 66,public,65,20834,22,Thu Oct 03 09:20:48 2015
4840012,Alone Time for Mom--Is It Possible?,public,119,15529,17,Mon Oct 07 12:21:52 2015
4840017,411 on Sweeping the Membranes,public,48,2064,13,Sat Oct 12 12:21:01 2015
4840020,Colorado - The Skinniest State!,public,57,13036,40,Tue Oct 15 09:21:04 2015
4840021,"Keep Warm, Wear Less",public,78,4550,37,Wed Oct 16 12:19:05 2015
4840024,Surprising Scent that Turns Women On,public,132,4929,34,Sat Oct 19 12:21:08 2015
4840027,Are Your Tots Brats? How to Tell,public,138,11593,47,Thu Oct 03 10:21:11 2015
4840028,Barack Obama Baby Naming Frenzy,public,35,13890,12,Fri Oct 04 12:21:12 2015
4840029,Great Fixes For Tarnished Jewelry,public,80,4593,11,Sat Oct 05 12:21:13 2015
4840031,Exercises That Just Aren't Worth Doing,public,178,12381,45,Mon Oct 07 12:21:15 2015
4840032,Frugal Living: Save Money Now,public,123,16192,22,Tue Oct 08 09:21:16 2015
4840043,Would You Get a Tummy Tuck?,public,81,20558,42,Sat Oct 19 12:21:27 2015
4840044,Dame Magazine: Best Books,public,58,8331,25,Sun Oct 20 12:21:28 2015
4840046,Losing the Baby Weight,public,141,17866,43,Thu Oct 03 10:21:30 2015
4840048,What to Do When Baby Bites,public,120,4228,29,Sat Oct 05 12:21:32 2015
4840053,My Son is in Love with Me,public,78,2017,25,Thu Oct 10 10:21:37 2015
4840055,Small Big Boys: The Height Issue,public,51,3531,12,Sat Oct 12 12:21:39 2015
4840056,Girl Runs for Homecoming...King,public,48,8942,23,Sun Oct 13 12:21:40 2015
4840060,The Best Movie Jerks,public,149,10779,39,Thu Oct 17 10:22:44 2015
4840061,Kitchen Gadgets Take Over,public,166,4295,47,Fri Oct 18 12:22:45 2015
4840063,5 Pregnancy Health Myths,public,51,12311,33,Sun Oct 20 12:22:47 2015
4840067,ADHD--Are Head Injuries to Blame?,public,120,7056,47,Sat Oct 05 12:22:51 2015
4840068,6 Steps to Winterize Your Skin,public,99,3438,28,Sun Oct 06 12:22:52 2015
4840072,Must See Movies: Whassup this Weekend?,public,33,10027,12,Thu Oct 10 10:22:00 2015
4840078,Superbugs Like MRSA on the Rise,public,92,1467,34,Wed Oct 16 12:20:06 2015
4840082,DRAFT UTIs: Symptoms and Relief,public,50,10994,17,Sun Oct 20 12:22:10 2015
4840087,Favorite Winter Comfort at Home?,public,80,20875,26,Sun Oct 06 12:22:15 2015
4840090,You Are Beautiful,public,76,13163,15,Wed Oct 09 12:20:18 2015
4840099,You Be the Pollster!,public,148,7458,49,Fri Oct 18 12:22:27 2015
4840107,3 Ways to Walk Off Belly Fat,public,54,1554,30,Mon Oct 07 12:22:35 2015
4840109,DRAFT When Your Jaw Pops,public,96,10840,21,Wed Oct 09 12:20:37 2015
4840110,Ugh. I Feel Fat!,public,144,15486,41,Thu Oct 10 11:23:38 2015
